unit_id,floor,hour_bucket,total_beds,avg_occupied,avg_available,avg_util_pct,peak_util_pct
CCU,2,2025-01-01 00:00:00,12,10.0,2.0,83.3,83.3
CCU,2,2025-01-01 01:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-01 02:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-01 03:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-01 04:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-01 05:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-01 06:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-01 07:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-01 08:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-01 09:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-01 10:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-01 11:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-01 12:00:00,12,11.0,1.0,91.7,91.7
CCU,2,2025-01-01 13:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-01 14:00:00,12,10.0,2.0,83.3,83.3
CCU,2,2025-01-01 15:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-01 16:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-01 17:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-01 18:00:00,12,11.0,1.0,91.7,91.7
CCU,2,2025-01-01 19:00:00,12,10.0,2.0,83.3,83.3
CCU,2,2025-01-01 20:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-01 21:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-01 22:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-01 23:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-02 00:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-02 01:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 02:00:00,12,10.0,2.0,83.3,83.3
CCU,2,2025-01-02 03:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 04:00:00,12,11.0,1.0,91.7,91.7
CCU,2,2025-01-02 05:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 06:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-02 07:00:00,12,9.0,3.0,75.0,75.0
CCU,2,2025-01-02 08:00:00,12,10.0,2.0,83.3,83.3
CCU,2,2025-01-02 09:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 10:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 11:00:00,12,10.0,2.0,83.3,83.3
CCU,2,2025-01-02 12:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 13:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 14:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 15:00:00,12,11.0,1.0,91.7,91.7
CCU,2,2025-01-02 16:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-02 17:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-02 18:00:00,12,9.0,3.0,75.0,75.0
CCU,2,2025-01-02 19:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-02 20:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 21:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-02 22:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-02 23:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-03 00:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-03 01:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-03 02:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-03 03:00:00,12,11.0,1.0,91.7,91.7
CCU,2,2025-01-03 04:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-03 05:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-03 06:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-03 07:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-03 08:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-03 09:00:00,12,10.0,2.0,83.3,83.3
CCU,2,2025-01-03 10:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-03 11:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-03 12:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-03 13:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-03 14:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-03 15:00:00,12,10.0,2.0,83.3,83.3
CCU,2,2025-01-03 16:00:00,12,6.0,6.0,50.0,50.0
CCU,2,2025-01-03 17:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-03 18:00:00,12,12.0,0.0,100.0,100.0
CCU,2,2025-01-03 19:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-03 20:00:00,12,7.0,5.0,58.3,58.3
CCU,2,2025-01-03 21:00:00,12,8.0,4.0,66.7,66.7
CCU,2,2025-01-03 22:00:00,12,10.0,2.0,83.3,83.3
CCU,2,2025-01-03 23:00:00,12,11.0,1.0,91.7,91.7
HDU,4,2025-01-01 00:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-01 01:00:00,24,22.0,2.0,91.7,91.7
HDU,4,2025-01-01 02:00:00,24,22.0,2.0,91.7,91.7
HDU,4,2025-01-01 03:00:00,24,22.0,2.0,91.7,91.7
HDU,4,2025-01-01 04:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-01 05:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-01 06:00:00,24,23.0,1.0,95.8,95.8
HDU,4,2025-01-01 07:00:00,24,24.0,0.0,100.0,100.0
HDU,4,2025-01-01 08:00:00,24,21.0,3.0,87.5,87.5
HDU,4,2025-01-01 09:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-01 10:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-01 11:00:00,24,20.0,4.0,83.3,83.3
HDU,4,2025-01-01 12:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-01 13:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-01 14:00:00,24,21.0,3.0,87.5,87.5
HDU,4,2025-01-01 15:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-01 16:00:00,24,24.0,0.0,100.0,100.0
HDU,4,2025-01-01 17:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-01 18:00:00,24,23.0,1.0,95.8,95.8
HDU,4,2025-01-01 19:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-01 20:00:00,24,20.0,4.0,83.3,83.3
HDU,4,2025-01-01 21:00:00,24,21.0,3.0,87.5,87.5
HDU,4,2025-01-01 22:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-01 23:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-02 00:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-02 01:00:00,24,22.0,2.0,91.7,91.7
HDU,4,2025-01-02 02:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-02 03:00:00,24,22.0,2.0,91.7,91.7
HDU,4,2025-01-02 04:00:00,24,24.0,0.0,100.0,100.0
HDU,4,2025-01-02 05:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-02 06:00:00,24,20.0,4.0,83.3,83.3
HDU,4,2025-01-02 07:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-02 08:00:00,24,22.0,2.0,91.7,91.7
HDU,4,2025-01-02 09:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-02 10:00:00,24,24.0,0.0,100.0,100.0
HDU,4,2025-01-02 11:00:00,24,20.0,4.0,83.3,83.3
HDU,4,2025-01-02 12:00:00,24,21.0,3.0,87.5,87.5
HDU,4,2025-01-02 13:00:00,24,24.0,0.0,100.0,100.0
HDU,4,2025-01-02 14:00:00,24,23.0,1.0,95.8,95.8
HDU,4,2025-01-02 15:00:00,24,22.0,2.0,91.7,91.7
HDU,4,2025-01-02 16:00:00,24,23.0,1.0,95.8,95.8
HDU,4,2025-01-02 17:00:00,24,20.0,4.0,83.3,83.3
HDU,4,2025-01-02 18:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-02 19:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-02 20:00:00,24,23.0,1.0,95.8,95.8
HDU,4,2025-01-02 21:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-02 22:00:00,24,24.0,0.0,100.0,100.0
HDU,4,2025-01-02 23:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-03 00:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-03 01:00:00,24,20.0,4.0,83.3,83.3
HDU,4,2025-01-03 02:00:00,24,18.0,6.0,75.0,75.0
HDU,4,2025-01-03 03:00:00,24,19.0,5.0,79.2,79.2
HDU,4,2025-01-03 04:00:00,24,22.0,2.0,91.7,91.7
HDU,4,2025-01-03 05:00:00,24,20.0,4.0,83.3,83.3
HDU,4,2025-01-03 06:00:00,24,21.0,3.0,87.5,87.5
HDU,4,2025-01-03 07:00:00,24,23.0,1.0,95.8,95.8
HDU,4,2025-01-03 08:00:00,24,24.0,0.0,100.0,100.0
