unit_id,total_beds,occupied_beds,available_beds,last_updated,floor
ICU-A,20,17,3,2025-01-01 00:00:00,3
ICU-B,18,12,6,2025-01-01 00:00:00,3
CCU,12,10,2,2025-01-01 00:00:00,2
HDU,24,18,6,2025-01-01 00:00:00,4
ICU-A,20,14,6,2025-01-01 01:00:00,3
ICU-B,18,15,3,2025-01-01 01:00:00,3
CCU,12,8,4,2025-01-01 01:00:00,2
HDU,24,22,2,2025-01-01 01:00:00,4
ICU-A,20,18,2,2025-01-01 02:00:00,3
ICU-B,18,15,3,2025-01-01 02:00:00,3
CCU,12,8,4,2025-01-01 02:00:00,2
HDU,24,22,2,2025-01-01 02:00:00,4
ICU-A,20,18,2,2025-01-01 03:00:00,3
ICU-B,18,12,6,2025-01-01 03:00:00,3
CCU,12,12,0,2025-01-01 03:00:00,2
HDU,24,22,2,2025-01-01 03:00:00,4
ICU-A,20,16,4,2025-01-01 04:00:00,3
ICU-B,18,18,0,2025-01-01 04:00:00,3
CCU,12,8,4,2025-01-01 04:00:00,2
HDU,24,19,5,2025-01-01 04:00:00,4
ICU-A,20,20,0,2025-01-01 05:00:00,3
ICU-B,18,16,2,2025-01-01 05:00:00,3
CCU,12,8,4,2025-01-01 05:00:00,2
HDU,24,19,5,2025-01-01 05:00:00,4
ICU-A,20,14,6,2025-01-01 06:00:00,3
ICU-B,18,13,5,2025-01-01 06:00:00,3
CCU,12,7,5,2025-01-01 06:00:00,2
HDU,24,23,1,2025-01-01 06:00:00,4
ICU-A,20,16,4,2025-01-01 07:00:00,3
ICU-B,18,13,5,2025-01-01 07:00:00,3
CCU,12,6,6,2025-01-01 07:00:00,2
HDU,24,24,0,2025-01-01 07:00:00,4
ICU-A,20,16,4,2025-01-01 08:00:00,3
ICU-B,18,13,5,2025-01-01 08:00:00,3
CCU,12,7,5,2025-01-01 08:00:00,2
HDU,24,21,3,2025-01-01 08:00:00,4
ICU-A,20,15,5,2025-01-01 09:00:00,3
ICU-B,18,15,3,2025-01-01 09:00:00,3
CCU,12,12,0,2025-01-01 09:00:00,2
HDU,24,18,6,2025-01-01 09:00:00,4
ICU-A,20,17,3,2025-01-01 10:00:00,3
ICU-B,18,15,3,2025-01-01 10:00:00,3
CCU,12,7,5,2025-01-01 10:00:00,2
HDU,24,19,5,2025-01-01 10:00:00,4
ICU-A,20,19,1,2025-01-01 11:00:00,3
ICU-B,18,12,6,2025-01-01 11:00:00,3
CCU,12,6,6,2025-01-01 11:00:00,2
HDU,24,20,4,2025-01-01 11:00:00,4
ICU-A,20,16,4,2025-01-01 12:00:00,3
ICU-B,18,16,2,2025-01-01 12:00:00,3
CCU,12,11,1,2025-01-01 12:00:00,2
HDU,24,19,5,2025-01-01 12:00:00,4
ICU-A,20,16,4,2025-01-01 13:00:00,3
ICU-B,18,14,4,2025-01-01 13:00:00,3
CCU,12,8,4,2025-01-01 13:00:00,2
HDU,24,18,6,2025-01-01 13:00:00,4
ICU-A,20,18,2,2025-01-01 14:00:00,3
ICU-B,18,16,2,2025-01-01 14:00:00,3
CCU,12,10,2,2025-01-01 14:00:00,2
HDU,24,21,3,2025-01-01 14:00:00,4
ICU-A,20,18,2,2025-01-01 15:00:00,3
ICU-B,18,15,3,2025-01-01 15:00:00,3
CCU,12,12,0,2025-01-01 15:00:00,2
HDU,24,18,6,2025-01-01 15:00:00,4
