feature,importance
lactate,0.15822462247552127
spo2_pct,0.10952949721753169
organ_dysfunction,0.0995542642518242
flag_high_lactate,0.08238026682461225
shock_index,0.0788971413443608
mobility_score,0.07149093492032382
crp_level,0.04966990486181784
respiratory_rate,0.04443792845846959
creatinine,0.038987273755821825
systolic_bp,0.03266166757076526
wbc_count,0.02816767097083139
sepsis_risk_score,0.02784085257673014
heart_rate,0.024938595190537722
hour_from_admission,0.0240884780014388
comorbidity_index,0.016984902823969326
diastolic_bp,0.013742802395902056
hemoglobin,0.01372867900672303
pulse_pressure,0.013501680361404195
spo2_hr_product,0.013122468983290057
age,0.011648922695208683
temperature_c,0.011331660072286304
oxygen_flow,0.008667612897085486
temp_deviation,0.008650257591511421
flag_low_spo2,0.005863303492030039
flag_tachy,0.0036056913652663977
flag_high_crp,0.002675595966439826
flag_hypotension,0.0024957857058202112
flag_tachypnea,0.002128480345380777
nurse_alert,0.0009830578770957821
flag_fever,2.2001262735741043e-17
