item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001,ORD00960,PROD0241,5,31227.63,90
ITEM00002,ORD00640,PROD0189,1,6786.96,48
ITEM00003,ORD00568,PROD0363,1,2159.35,50
ITEM00004,ORD00008,PROD0009,2,9737.17,62
ITEM00005,ORD00331,PROD0128,5,719.36,89
ITEM00006,ORD00664,PROD0343,2,41084.08,21
ITEM00007,ORD00821,PROD0352,4,46331.93,48
ITEM00008,ORD00258,PROD0441,5,10218.3,48
ITEM00009,ORD00843,PROD0407,4,10566.95,38
ITEM00010,ORD00238,PROD0049,5,23711.59,70
ITEM00011,ORD00834,PROD0487,2,27509.12,58
ITEM00012,ORD00097,PROD0175,5,40777.03,50
ITEM00013,ORD00946,PROD0074,5,2707.55,55
ITEM00014,ORD00742,PROD0135,5,9471.78,64
ITEM00015,ORD00900,PROD0006,2,49776.57,82
ITEM00016,ORD00654,PROD0186,4,24860.78,80
ITEM00017,ORD00499,PROD0276,5,18012.61,63
ITEM00018,ORD00629,PROD0199,1,9089.6,6
ITEM00019,ORD00912,PROD0415,4,7280.75,88
ITEM00020,ORD00518,PROD0465,5,12099.93,19
ITEM00021,ORD00478,PROD0278,3,46660.54,55
ITEM00022,ORD00438,PROD0015,5,8875.25,45
ITEM00023,ORD00080,PROD0153,1,17616.75,95
ITEM00024,ORD00898,PROD0449,3,40661.98,14
ITEM00025,ORD00503,PROD0133,-2,14556.53,80
ITEM00026,ORD00670,PROD0172,5,4233.81,83
ITEM00027,ORD00801,PROD0039,5,16701.22,67
ITEM00028,ORD00106,PROD0038,3,26065.29,91
ITEM00029,ORD00040,PROD0407,5,3541.6,21
ITEM00030,ORD00151,PROD0105,2,42732.94,68
ITEM00031,ORD00429,PROD0438,5,41662.83,79
ITEM00032,ORD00019,PROD0372,5,45043.75,58
ITEM00033,ORD00615,PROD0297,1,49968.65,96
ITEM00034,ORD00194,PROD0446,4,49222.88,6
ITEM00035,ORD00121,PROD0304,3,13705.23,93
ITEM00036,ORD00788,PROD0002,3,28077.98,84
ITEM00037,ORD00621,PROD0211,2,43924.89,60
ITEM00038,ORD00489,PROD0381,4,3903.83,55
ITEM00039,ORD00868,PROD0151,5,576.72,54
ITEM00040,ORD00020,PROD0179,1,48597.6,22
ITEM00041,ORD00729,PROD0027,4,4795.16,0
ITEM00042,ORD00912,PROD0214,2,11098.23,27
ITEM00043,ORD00380,PROD0270,4,3429.6,49
ITEM00044,ORD00593,PROD0286,1,28975.04,70
ITEM00045,ORD00574,PROD0272,3,38961.13,86
ITEM00046,ORD00051,PROD0389,5,48575.73,90
ITEM00047,ORD00568,PROD0309,3,8208.13,98
ITEM00048,ORD00858,PROD0405,1,39398.96,34
ITEM00049,ORD00137,PROD0087,4,47917.75,95
ITEM00050,ORD00767,PROD0167,1,45898.03,85
ITEM00051,ORD00795,PROD0034,2,11701.48,83
ITEM00052,ORD00738,PROD0344,1,961.41,91
ITEM00053,ORD00020,PROD0211,4,15544.17,59
ITEM00054,ORD00252,PROD0268,1,25523.17,7
ITEM00055,ORD00241,PROD0153,2,18882.56,8
