order_id,customer_id,order_date,status,region_code
ORD00001,CUST0241,2026-03-18 15:29:19,SHIPPED,EAST
ORD00002,CUST0170,2026-01-16 10:54:34,DELIVERED,NORTH
ORD00003,,2026-06-09 11:15:20,DELIVERED,EAST
ORD00004,CUST0461,2025-08-21 13:30:07,DELIVERED,SOUTH
ORD00005,CUST0217,2025-09-16 03:42:42,DELIVERED,NORTH
ORD00006,CUST0288,2026-03-19 05:11:05,PLACED,NORTH
ORD00007,CUST0053,2025-07-01 01:54:08,DELIVERED,WEST
ORD00008,CUST0208,2026-05-03 17:13:22,DELIVERED,WEST
ORD00009,CUST0024,2026-02-17 01:42:39,PLACED,SOUTH
ORD00010,CUST0170,2026-05-28 01:26:23,DELIVERED,SOUTH
ORD00011,CUST0348,2026-05-07 01:43:23,DELIVERED,NORTH
ORD00012,CUST0023,2025-11-02 07:11:18,DELIVERED,NORTH
ORD00013,CUST0489,2026-06-08 01:58:37,DELIVERED,WEST
ORD00014,CUST0160,2026-04-19 21:04:41,DELIVERED,EAST
ORD00015,CUST0316,2026-05-13 13:27:22,DELIVERED,WEST
ORD00016,CUST0101,2025-12-22 02:57:09,DELIVERED,WEST
ORD00017,CUST0056,2025-07-07 02:54:25,DELIVERED,EAST
ORD00018,CUST0149,2026-06-05 15:58:31,DELIVERED,EAST
ORD00019,CUST0086,2025-12-31 09:39:12,DELIVERED,SOUTH
ORD00020,CUST0312,2026-04-16 17:43:31,PLACED,WEST
ORD00021,CUST0265,2026-05-22 03:33:21,DELIVERED,SOUTH
ORD00022,CUST0346,2026-04-02 09:57:06,DELIVERED,NORTH
ORD00023,CUST0325,2025-08-26 04:23:27,DELIVERED,NORTH
ORD00024,CUST0288,2026-03-22 23:31:40,DELIVERED,WEST
ORD00025,CUST0466,2025-10-22 11:53:17,DELIVERED,SOUTH
ORD00026,CUST0379,2026-05-25 04:36:01,CANCELLED,NORTH
ORD00027,CUST0326,2025-07-01 17:34:45,DELIVERED,WEST
ORD00028,CUST0256,2025-10-31 17:35:04,CANCELLED,NORTH
ORD00029,CUST0274,2025-12-17 18:42:02,DELIVERED,SOUTH
ORD00030,CUST0003,2025-09-11 20:05:23,DELIVERED,EAST
ORD00031,CUST0045,2025-12-19 02:16:23,DELIVERED,WEST
ORD00032,CUST0092,2026-04-26 00:34:10,DELIVERED,EAST
ORD00033,CUST0325,2025-09-02 15:05:50,DELIVERED,WEST
ORD00034,CUST0343,2026-06-04 16:40:03,DELIVERED,WEST
ORD00035,CUST0476,2026-04-23 22:44:17,PLACED,WEST
ORD00036,CUST0410,2025-10-07 11:17:23,DELIVERED,WEST
ORD00037,CUST0432,2025-09-24 23:01:47,DELIVERED,EAST
ORD00038,,2025-09-01 00:25:34,DELIVERED,NORTH
ORD00039,CUST0078,2025-11-16 21:50:49,SHIPPED,SOUTH
ORD00040,CUST0213,2026-02-08 17:10:15,DELIVERED,SOUTH
ORD00041,CUST0495,2025-08-09 13:07:37,DELIVERED,NORTH
ORD00042,CUST0411,15-04-2026,SHIPPED,SOUTH
ORD00043,CUST0227,28-02-2026,DELIVERED,SOUTH
ORD00044,CUST0089,2025-10-01 20:28:56,DELIVERED,NORTH
ORD00045,CUST0094,2026-06-14 01:37:13,DELIVERED,WEST
ORD00046,CUST0119,2025-11-25 10:19:07,PLACED,WEST
ORD00047,CUST0417,2026-02-14 13:47:15,DELIVERED,EAST
ORD00048,CUST0236,2026-01-26 10:01:10,RETURNED,SOUTH
ORD00049,CUST0096,2026-05-31 15:22:21,DELIVERED,NORTH
ORD00050,CUST0255,2026-06-07 04:48:41,SHIPPED,SOUTH
ORD00051,CUST0339,2025-10-30 02:47:48,DELIVERED,WEST
ORD00052,CUST0443,2026-03-20 01:47:34,DELIVERED,EAST
ORD00053,,2025-09-18 07:58:54,PLACED,WEST
ORD00054,CUST0208,15-04-2026,PLACED,EAST
ORD00055,CUST0461,2025-07-20 16:52:18,SHIPPED,SOUTH
ORD00056,CUST0477,2025-08-06 07:52:13,DELIVERED,EAST
ORD00057,CUST0035,2026-06-22 01:48:28,DELIVERED,SOUTH
ORD00058,CUST0028,2026-02-19 12:13:50,DELIVERED,WEST
ORD00059,CUST0161,2026-05-15 13:47:00,DELIVERED,SOUTH
ORD00060,CUST0268,2026-03-17 02:06:46,DELIVERED,EAST
ORD00061,CUST0434,2026-04-16 07:10:58,DELIVERED,WEST
ORD00062,CUST0058,2025-09-20 07:11:29,DELIVERED,EAST
ORD00063,CUST0389,2026-01-24 12:37:26,DELIVERED,SOUTH
ORD00064,CUST0256,2025-07-05 09:37:10,DELIVERED,EAST
ORD00065,CUST0246,2025-10-03 18:22:28,DELIVERED,NORTH
ORD00066,CUST0488,2025-09-26 05:51:49,DELIVERED,NORTH
ORD00067,,2025-07-22 09:58:52,DELIVERED,EAST
ORD00068,CUST0215,2025-12-11 05:24:45,DELIVERED,NORTH
ORD00069,CUST0096,2025-10-25 23:23:35,PLACED,SOUTH
ORD00070,CUST0221,2025-07-05 03:42:29,DELIVERED,SOUTH
ORD00071,CUST0111,2025-09-13 04:21:26,SHIPPED,EAST
ORD00072,CUST0404,2025-07-22 15:36:41,DELIVERED,NORTH
ORD00073,CUST0319,2025-09-26 23:29:54,SHIPPED,EAST
ORD00074,CUST0468,2025-09-13 10:49:08,DELIVERED,SOUTH
ORD00075,CUST0409,2025-11-23 09:49:02,DELIVERED,NORTH
ORD00076,CUST0073,2026-05-05 02:56:27,PLACED,NORTH
ORD00077,CUST0334,2025-08-04 04:42:46,SHIPPED,SOUTH
ORD00078,CUST0431,2026-02-08 21:13:31,DELIVERED,WEST
ORD00079,CUST0201,2026-01-17 19:10:58,DELIVERED,SOUTH
