product_id,product_name,category,subcategory,cost_price
PROD0001,Mouse Dolorem,Books,Comics,32402.09
PROD0002,Bottle Labore,Electronics,TV,44421.72
PROD0003,Watch Quis,Clothing,Shoes,40683.77
PROD0004,Shoes Eius,Electronics,Mobile,40116.13
PROD0005,Phone Accusamus,Clothing,Jeans,7809.68
PROD0006,Chair Qui,Clothing,Jacket,5700.3
PROD0007,Headphones Incidunt,Home,Kitchen,16834.68
PROD0008,Fan Quis,Electronics,TV,38946.99
PROD0009,Chair Molestias,Home,Kitchen,13700.73
PROD0010,Mouse Voluptates,Electronics,Laptop,24180.08
PROD0011,Speaker Et,Clothing,Shoes,46043.23
PROD0012,Mouse Sunt,Home,Decor,28282.29
PROD0013,Shirt Optio,Home,Furniture,29586.33
PROD0014,Headphones Voluptatum,Clothing,Jeans,10547.78
PROD0015,Monitor Ab,Electronics,Laptop,31861.03
PROD0016,Watch Aperiam,Books,Biography,22457.39
PROD0017,Book Nam,Home,Appliances,23761.5
PROD0018,Table Deserunt,Home,Kitchen,16172.46
PROD0019,Camera Odio,Home,Appliances,42388.69
PROD0020,Headphones Nemo,Books,Biography,41172.36
PROD0021,Bag Accusantium,Books,Comics,11073.45
PROD0022,cHAIR tEMPORIBUS,Electronics,TV,42036.33
PROD0023,Table Fuga,Home,Furniture,659.19
PROD0024,Shirt Vel,Clothing,Jacket,16606.06
PROD0025,Chair Numquam,Clothing,Jacket,13989.03
PROD0026,Camera Quasi,Electronics,Headphones,40519.04
PROD0027,Bottle Nostrum,Clothing,Jeans,30598.49
PROD0028,Speaker Ratione,Electronics,TV,43942.87
PROD0029,Speaker Adipisci,Electronics,Headphones,30300.93
PROD0030,Monitor Officia,Electronics,Headphones,47257.4
PROD0031,Shoes Repudiandae,Books,Education,2603.15
PROD0032,Watch Consectetur,Electronics,Headphones,4407.53
PROD0033,Mixer Cupiditate,Home,Kitchen,46629.46
PROD0034,Laptop Nostrum,Electronics,Laptop,38218.0
PROD0035,Shirt Optio,Books,Education,1984.56
PROD0036,Phone Aut,Clothing,Shoes,39134.01
