month,customer_segment,customer_count
2025-06,High,6
2025-06,Low,1
2025-07,High,74
2025-07,Low,5
2025-07,Medium,4
2025-08,High,67
2025-08,Low,3
2025-08,Medium,1
2025-09,High,64
2025-09,Low,2
2025-09,Medium,2
2025-10,High,67
2025-10,Low,3
2025-10,Medium,1
2025-11,High,56
2025-11,Low,2
2025-11,Medium,2
2025-12,High,63
2025-12,Low,8
2025-12,Medium,1
2026-01,High,72
2026-01,Low,3
2026-02,High,46
2026-02,Low,6
2026-02,Medium,1
2026-03,High,68
2026-03,Low,1
2026-03,Medium,2
2026-04,High,66
2026-04,Low,2
2026-05,High,72
2026-05,Low,2
2026-05,Medium,3
2026-06,High,53
2026-06,Low,3
2026-06,Medium,2
