customer_id,revenue,cumulative_revenue,cumulative_percent
CUST0122,1186168.3,1186168.3,1.18
CUST0495,1051438.14,2237606.44,2.23
CUST0006,966420.3,3204026.74,3.19
CUST0161,873465.19,4077491.9299999997,4.06
CUST0258,860709.19,4938201.12,4.91
CUST0432,835565.82,5773766.9399999995,5.74
CUST0185,830128.7,6603895.64,6.57
CUST0376,809794.68,7413690.32,7.38
CUST0119,793481.64,8207171.96,8.16
CUST0168,786352.71,8993524.67,8.95
CUST0114,764057.86,9757582.53,9.71
CUST0476,730197.35,10487779.879999999,10.43
CUST0118,705667.4,11193447.28,11.14
CUST0401,700063.15,11893510.43,11.83
CUST0228,628582.55,12522092.98,12.46
CUST0004,600052.9,13122145.879999999,13.05
CUST0263,579986.42,13702132.3,13.63
CUST0253,567549.97,14269682.27,14.2
CUST0099,565273.82,14834956.09,14.76
CUST0169,563263.05,15398219.14,15.32
CUST0143,561576.51,15959795.65,15.88
CUST0385,561093.07,16520888.72,16.44
CUST0420,559317.51,17080206.23,16.99
CUST0435,555880.29,17636086.52,17.55
CUST0151,543714.71,18179801.23,18.09
CUST0043,540348.62,18720149.85,18.62
CUST0011,525249.57,19245399.419999998,19.15
CUST0428,524170.02,19769569.44,19.67
CUST0170,521045.39,20290614.83,20.19
CUST0287,516655.92,20807270.75,20.7
CUST0163,515917.16,21323187.91,21.21
CUST0246,514003.35,21837191.259999998,21.72
CUST0364,508765.46,22345956.72,22.23
CUST0332,508018.84,22853975.56,22.74
CUST0024,504391.94,23358367.5,23.24
CUST0470,503349.44,23861716.94,23.74
CUST0283,502468.84,24364185.78,24.24
CUST0429,500676.89,24864862.669999998,24.74
CUST0172,499489.38,25364352.05,25.23
CUST0410,497762.79,25862114.84,25.73
CUST0086,496992.82,26359107.66,26.22
CUST0286,492458.55,26851566.21,26.71
CUST0254,482216.82,27333783.03,27.19
CUST0042,479928.59,27813711.62,27.67
CUST0335,470132.62,28283844.24,28.14
CUST0406,468261.59,28752105.83,28.6
CUST0093,466495.36,29218601.19,29.07
CUST0219,462348.81,29680950.0,29.53
CUST0416,457842.79,30138792.79,29.98
CUST0126,457503.23,30596296.02,30.44
CUST0322,452988.81,31049284.83,30.89
CUST0292,451563.26,31500848.09,31.34
CUST0477,447316.55,31948164.64,31.78
CUST0010,446736.88,32394901.52,32.23
CUST0499,446472.52,32841374.04,32.67
CUST0239,444537.98,33285912.02,33.11
CUST0096,444015.42,33729927.44,33.56
CUST0147,442797.15,34172724.59,34.0
CUST0104,441015.87,34613740.46,34.44
CUST0478,435736.37,35049476.83,34.87
CUST0101,433727.8,35483204.63,35.3
CUST0193,429241.08,35912445.71,35.73
CUST0007,429240.06,36341685.77,36.15
CUST0230,428786.84,36770472.61,36.58
CUST0124,427576.02,37198048.63,37.01
CUST0464,420546.36,37618594.99,37.42
CUST0041,420420.39,38039015.38,37.84
CUST0353,413488.7,38452504.08,38.25
CUST0358,411324.81,38863828.89,38.66
CUST0485,410948.54,39274777.43,39.07
CUST0487,409274.04,39684051.47,39.48
CUST0345,404409.71,40088461.18,39.88
CUST0496,404140.34,40492601.52,40.28
CUST0465,403591.1,40896192.62,40.69
CUST0325,402800.1,41298992.72,41.09
