cohort_month,order_month,active_customers
2023-06,,0
2023-06,2025-08,1
2023-06,2025-10,1
2023-06,2026-01,1
2023-07,,0
2023-07,2025-08,3
2023-07,2025-09,3
2023-07,2025-10,4
2023-07,2025-11,4
2023-07,2025-12,1
2023-07,2026-01,4
2023-07,2026-02,4
2023-07,2026-03,6
2023-07,2026-04,2
2023-07,2026-06,2
2023-08,,0
2023-08,2025-06,1
2023-08,2025-07,1
2023-08,2025-08,4
2023-08,2025-09,2
2023-08,2025-10,3
2023-08,2025-11,1
2023-08,2025-12,1
2023-08,2026-02,1
2023-08,2026-04,1
2023-08,2026-05,1
2023-08,2026-06,3
2023-09,,0
2023-09,2025-07,3
2023-09,2025-08,2
2023-09,2025-09,2
2023-09,2025-10,2
2023-09,2025-11,2
2023-09,2025-12,2
2023-09,2026-01,3
2023-09,2026-02,1
2023-09,2026-03,5
2023-09,2026-04,3
2023-09,2026-05,3
2023-09,2026-06,3
2023-10,2025-07,3
2023-10,2025-08,3
2023-10,2025-09,6
2023-10,2025-10,2
2023-10,2025-11,1
2023-10,2025-12,1
2023-10,2026-01,3
2023-10,2026-02,1
2023-10,2026-03,3
2023-10,2026-04,6
2023-10,2026-05,2
2023-11,,0
2023-11,2025-07,1
2023-11,2025-09,1
2023-11,2025-10,1
2023-11,2025-11,1
2023-11,2025-12,2
2023-11,2026-02,3
2023-11,2026-04,1
2023-12,,0
2023-12,2025-07,2
2023-12,2025-08,1
2023-12,2025-09,2
2023-12,2025-10,2
2023-12,2025-12,2
2023-12,2026-04,2
2023-12,2026-05,1
2024-01,2025-07,2
2024-01,2025-08,3
2024-01,2025-09,3
2024-01,2025-10,3
2024-01,2025-11,3
2024-01,2025-12,1
2024-01,2026-01,1
2024-01,2026-02,1
2024-01,2026-03,3
2024-01,2026-04,1
2024-01,2026-05,5
2024-01,2026-06,1
2024-02,2025-07,2
2024-02,2025-08,1
2024-02,2025-10,2
2024-02,2025-11,3
2024-02,2025-12,1
2024-02,2026-01,2
2024-02,2026-02,4
2024-02,2026-04,2
2024-02,2026-05,1
2024-02,2026-06,2
2024-03,,0
2024-03,2025-07,1
2024-03,2025-08,1
2024-03,2025-10,1
2024-03,2025-11,3
2024-03,2025-12,1
2024-03,2026-01,4
2024-03,2026-03,1
2024-03,2026-04,3
2024-03,2026-05,4
2024-04,2025-06,1
2024-04,2025-07,2
2024-04,2025-08,4
2024-04,2025-09,2
2024-04,2025-10,1
2024-04,2025-11,3
2024-04,2025-12,4
2024-04,2026-01,4
2024-04,2026-02,2
2024-04,2026-03,3
2024-04,2026-04,5
2024-04,2026-05,2
2024-04,2026-06,4
2024-05,,0
2024-05,2025-07,4
2024-05,2025-08,2
2024-05,2025-09,2
2024-05,2025-10,4
2024-05,2025-11,2
2024-05,2025-12,1
2024-05,2026-01,4
2024-05,2026-02,3
2024-05,2026-03,2
2024-05,2026-04,3
2024-05,2026-05,3
2024-05,2026-06,3
2024-06,,0
2024-06,2025-07,2
2024-06,2025-08,2
2024-06,2025-09,1
2024-06,2025-10,2
2024-06,2025-11,3
2024-06,2025-12,3
2024-06,2026-01,1
2024-06,2026-02,2
2024-06,2026-03,3
2024-06,2026-04,6
2024-06,2026-05,1
2024-06,2026-06,1
2024-07,,0
2024-07,2025-07,2
2024-07,2025-09,3
2024-07,2025-10,2
2024-07,2025-11,2
2024-07,2026-01,1
2024-07,2026-02,3
2024-07,2026-03,3
2024-07,2026-04,1
2024-07,2026-06,3
2024-08,,0
2024-08,2025-07,3
2024-08,2025-08,2
2024-08,2025-09,3
2024-08,2025-10,4
2024-08,2025-11,2
2024-08,2025-12,2
2024-08,2026-01,2
2024-08,2026-02,1
2024-08,2026-03,2
2024-08,2026-04,1
2024-08,2026-05,3
2024-08,2026-06,2
2024-09,,0
2024-09,2025-07,3
2024-09,2025-08,2
2024-09,2025-09,3
2024-09,2025-10,2
2024-09,2025-11,2
2024-09,2025-12,5
2024-09,2026-01,4
2024-09,2026-02,4
2024-09,2026-03,1
2024-09,2026-04,1
2024-09,2026-05,2
2024-09,2026-06,1
2024-10,2025-06,1
2024-10,2025-07,3
2024-10,2025-08,4
2024-10,2025-09,4
2024-10,2025-10,2
2024-10,2025-11,3
2024-10,2025-12,4
2024-10,2026-01,3
2024-10,2026-03,2
2024-10,2026-05,4
2024-10,2026-06,5
2024-11,,0
2024-11,2025-07,1
2024-11,2025-08,1
2024-11,2025-09,1
2024-11,2025-11,1
2024-11,2025-12,3
2024-11,2026-01,1
2024-11,2026-03,1
2024-11,2026-04,2
2024-12,,0
2024-12,2025-07,3
2024-12,2025-08,3
2024-12,2025-09,3
2024-12,2025-10,5
2024-12,2025-11,1
2024-12,2025-12,1
2024-12,2026-01,2
2024-12,2026-03,4
2024-12,2026-04,1
2024-12,2026-05,3
2024-12,2026-06,1
2025-01,,0
2025-01,2025-06,2
2025-01,2025-07,3
2025-01,2025-08,2
2025-01,2025-09,3
2025-01,2025-10,1
2025-01,2025-11,1
2025-01,2025-12,2
2025-01,2026-01,1
2025-01,2026-02,1
2025-01,2026-04,4
2025-01,2026-05,3
2025-01,2026-06,1
2025-02,,0
2025-02,2025-07,2
2025-02,2025-08,3
2025-02,2025-09,1
2025-02,2025-10,1
2025-02,2025-12,3
2025-02,2026-01,3
2025-02,2026-02,1
2025-02,2026-03,2
2025-02,2026-04,2
2025-02,2026-05,2
2025-02,2026-06,4
2025-03,,0
2025-03,2025-07,2
2025-03,2025-08,2
2025-03,2025-10,1
2025-03,2025-11,1
2025-03,2026-01,3
2025-03,2026-02,2
2025-03,2026-03,3
2025-03,2026-05,4
2025-03,2026-06,1
2025-04,,0
2025-04,2025-07,2
2025-04,2025-08,1
2025-04,2025-09,2
2025-04,2025-11,2
2025-04,2025-12,2
2025-04,2026-01,3
2025-04,2026-02,2
2025-04,2026-03,3
2025-04,2026-04,1
2025-04,2026-05,1
2025-04,2026-06,2
2025-05,2025-07,2
2025-05,2025-08,1
2025-05,2025-09,1
2025-05,2025-10,3
2025-05,2025-11,3
2025-05,2025-12,1
2025-05,2026-01,3
2025-05,2026-02,1
2025-05,2026-03,2
2025-05,2026-04,4
2025-05,2026-05,3
2025-05,2026-06,4
2025-06,,0
2025-06,2025-06,1
2025-06,2025-08,1
2025-06,2025-09,1
2025-06,2025-10,2
2025-06,2025-11,2
2025-06,2025-12,1
2025-06,2026-01,2
2025-06,2026-02,3
2025-06,2026-03,1
2025-06,2026-05,6
2025-06,2026-06,3
2025-07,,0
2025-07,2025-07,4
2025-07,2025-09,3
2025-07,2025-12,2
2025-07,2026-01,2
2025-07,2026-02,2
2025-07,2026-03,3
2025-07,2026-04,2
2025-07,2026-05,3
2025-07,2026-06,2
2025-08,,0
2025-08,2025-07,3
2025-08,2025-08,3
2025-08,2025-09,1
2025-08,2025-10,3
2025-08,2025-11,5
2025-08,2025-12,3
2025-08,2026-01,4
2025-08,2026-02,2
2025-08,2026-03,5
2025-08,2026-05,2
2025-09,,0
2025-09,2025-07,1
2025-09,2025-08,2
2025-09,2025-09,3
2025-09,2025-10,3
2025-09,2025-11,3
2025-09,2025-12,3
2025-09,2026-01,2
2025-09,2026-02,2
2025-09,2026-03,3
2025-09,2026-04,4
2025-09,2026-06,2
2025-10,,0
2025-10,2025-07,4
2025-10,2025-08,3
2025-10,2025-09,4
2025-10,2025-10,2
2025-10,2025-11,1
2025-10,2025-12,1
2025-10,2026-01,1
2025-10,2026-02,3
2025-10,2026-03,1
2025-10,2026-04,4
2025-10,2026-05,2
2025-10,2026-06,2
2025-11,,0
2025-11,2025-07,4
2025-11,2025-08,4
2025-11,2025-09,1
2025-11,2025-10,4
2025-11,2025-11,1
2025-11,2025-12,2
2025-11,2026-01,4
2025-11,2026-02,1
2025-11,2026-04,3
2025-11,2026-05,2
2025-11,2026-06,1
2025-12,,0
2025-12,2025-07,1
2025-12,2025-08,1
2025-12,2025-10,2
2025-12,2025-11,1
2025-12,2025-12,3
2025-12,2026-01,1
2025-12,2026-02,1
2025-12,2026-03,2
2025-12,2026-05,1
2026-01,,0
2026-01,2025-07,5
2026-01,2025-08,5
2026-01,2025-09,4
2026-01,2025-11,2
2026-01,2025-12,6
2026-01,2026-03,2
2026-01,2026-04,2
2026-01,2026-05,4
2026-01,2026-06,2
2026-02,2025-06,1
2026-02,2025-07,7
2026-02,2025-08,1
2026-02,2025-10,3
2026-02,2025-11,1
2026-02,2025-12,1
2026-02,2026-01,2
2026-02,2026-02,5
2026-02,2026-03,2
2026-02,2026-04,2
2026-02,2026-05,2
2026-02,2026-06,2
2026-03,,0
2026-03,2025-07,1
2026-03,2025-08,3
2026-03,2025-09,1
2026-03,2025-10,3
2026-03,2025-11,3
2026-03,2026-01,2
2026-03,2026-02,1
2026-03,2026-03,3
2026-03,2026-04,3
2026-03,2026-05,4
2026-03,2026-06,1
2026-04,,0
2026-04,2025-09,1
2026-04,2025-10,1
2026-04,2025-11,1
2026-04,2025-12,3
2026-04,2026-01,2
