product_a,product_b,times_bought_together
PROD0183,PROD0343,3
PROD0006,PROD0234,2
PROD0007,PROD0018,2
PROD0007,PROD0391,2
PROD0009,PROD0125,2
PROD0009,PROD0430,2
PROD0012,PROD0096,2
PROD0020,PROD0371,2
PROD0022,PROD0304,2
PROD0024,PROD0399,2
PROD0029,PROD0172,2
PROD0029,PROD0181,2
PROD0029,PROD0235,2
PROD0033,PROD0366,2
PROD0042,PROD0355,2
PROD0042,PROD0433,2
PROD0046,PROD0347,2
PROD0052,PROD0387,2
PROD0055,PROD0391,2
PROD0058,PROD0476,2
PROD0062,PROD0184,2
PROD0062,PROD0435,2
PROD0077,PROD0428,2
PROD0084,PROD0478,2
PROD0086,PROD0360,2
PROD0091,PROD0247,2
PROD0093,PROD0458,2
PROD0094,PROD0125,2
PROD0104,PROD0302,2
PROD0104,PROD0451,2
PROD0106,PROD0178,2
PROD0109,PROD0153,2
PROD0111,PROD0279,2
PROD0121,PROD0159,2
PROD0122,PROD0322,2
PROD0123,PROD0380,2
PROD0125,PROD0424,2
PROD0126,PROD0241,2
PROD0127,PROD0209,2
PROD0131,PROD0453,2
PROD0132,PROD0241,2
PROD0132,PROD0394,2
PROD0139,PROD0370,2
PROD0153,PROD0231,2
PROD0153,PROD0386,2
PROD0154,PROD0485,2
PROD0155,PROD0306,2
PROD0157,PROD0184,2
PROD0162,PROD0323,2
PROD0165,PROD0221,2
PROD0166,PROD0283,2
PROD0166,PROD0343,2
PROD0176,PROD0182,2
PROD0176,PROD0477,2
PROD0183,PROD0370,2
PROD0188,PROD0325,2
PROD0194,PROD0246,2
PROD0197,PROD0299,2
PROD0198,PROD0419,2
PROD0205,PROD0397,2
PROD0208,PROD0224,2
PROD0208,PROD0235,2
PROD0217,PROD0336,2
PROD0221,PROD0484,2
PROD0222,PROD0360,2
PROD0225,PROD0305,2
PROD0261,PROD0321,2
PROD0264,PROD0378,2
PROD0265,PROD0493,2
PROD0267,PROD0393,2
PROD0281,PROD0292,2
PROD0290,PROD0483,2
PROD0295,PROD0484,2
PROD0313,PROD0386,2
PROD0317,PROD0441,2
PROD0327,PROD0440,2
PROD0336,PROD0363,2
PROD0348,PROD0435,2
PROD0359,PROD0371,2
PROD0359,PROD0413,2
PROD0367,PROD0468,2
PROD0378,PROD0410,2
PROD0395,PROD0479,2
PROD0396,PROD0428,2
PROD0397,PROD0476,2
PROD0407,PROD0476,2
PROD0001,PROD0048,1
PROD0001,PROD0184,1
PROD0001,PROD0235,1
PROD0001,PROD0272,1
PROD0001,PROD0299,1
PROD0001,PROD0302,1
PROD0001,PROD0330,1
PROD0001,PROD0343,1
PROD0001,PROD0348,1
PROD0001,PROD0370,1
PROD0001,PROD0382,1
PROD0001,PROD0431,1
PROD0001,PROD0435,1
PROD0001,PROD0452,1
PROD0001,PROD0481,1
PROD0002,PROD0007,1
PROD0002,PROD0013,1
PROD0002,PROD0052,1
PROD0002,PROD0073,1
PROD0002,PROD0086,1
PROD0002,PROD0115,1
PROD0002,PROD0131,1
PROD0002,PROD0139,1
PROD0002,PROD0162,1
PROD0002,PROD0165,1
PROD0002,PROD0171,1
PROD0002,PROD0221,1
PROD0002,PROD0225,1
PROD0002,PROD0233,1
PROD0002,PROD0247,1
PROD0002,PROD0258,1
PROD0002,PROD0279,1
PROD0002,PROD0305,1
PROD0002,PROD0315,1
PROD0002,PROD0328,1
PROD0002,PROD0335,1
PROD0002,PROD0358,1
PROD0002,PROD0361,1
PROD0002,PROD0362,1
PROD0002,PROD0370,1
PROD0002,PROD0386,1
PROD0002,PROD0410,1
PROD0002,PROD0441,1
PROD0002,PROD0460,1
PROD0002,PROD0471,1
PROD0002,PROD0499,1
PROD0003,PROD0029,1
PROD0003,PROD0052,1
PROD0003,PROD0118,1
PROD0003,PROD0122,1
PROD0003,PROD0131,1
PROD0003,PROD0170,1
PROD0003,PROD0181,1
PROD0003,PROD0308,1
PROD0003,PROD0314,1
PROD0003,PROD0316,1
PROD0003,PROD0387,1
PROD0003,PROD0482,1
PROD0003,PROD0496,1
PROD0004,PROD0044,1
PROD0004,PROD0100,1
PROD0004,PROD0175,1
PROD0005,PROD0217,1
PROD0005,PROD0295,1
PROD0005,PROD0383,1
PROD0005,PROD0464,1
PROD0006,PROD0022,1
PROD0006,PROD0047,1
PROD0006,PROD0068,1
PROD0006,PROD0077,1
PROD0006,PROD0131,1
PROD0006,PROD0141,1
PROD0006,PROD0161,1
PROD0006,PROD0201,1
PROD0006,PROD0202,1
PROD0006,PROD0208,1
PROD0006,PROD0214,1
PROD0006,PROD0223,1
PROD0006,PROD0233,1
PROD0006,PROD0262,1
PROD0006,PROD0310,1
PROD0006,PROD0387,1
PROD0006,PROD0396,1
PROD0006,PROD0428,1
PROD0006,PROD0451,1
PROD0006,PROD0461,1
PROD0006,PROD0463,1
PROD0006,PROD0467,1
PROD0007,PROD0020,1
PROD0007,PROD0022,1
PROD0007,PROD0048,1
PROD0007,PROD0058,1
PROD0007,PROD0065,1
PROD0007,PROD0073,1
PROD0007,PROD0093,1
PROD0007,PROD0096,1
PROD0007,PROD0106,1
PROD0007,PROD0123,1
PROD0007,PROD0132,1
PROD0007,PROD0175,1
PROD0007,PROD0176,1
PROD0007,PROD0183,1
PROD0007,PROD0232,1
PROD0007,PROD0237,1
PROD0007,PROD0243,1
PROD0007,PROD0252,1
PROD0007,PROD0264,1
PROD0007,PROD0265,1
PROD0007,PROD0271,1
PROD0007,PROD0274,1
PROD0007,PROD0275,1
PROD0007,PROD0298,1
PROD0007,PROD0311,1
PROD0007,PROD0343,1
PROD0007,PROD0357,1
PROD0007,PROD0362,1
PROD0007,PROD0370,1
PROD0007,PROD0375,1
PROD0007,PROD0376,1
PROD0007,PROD0386,1
PROD0007,PROD0406,1
PROD0007,PROD0421,1
PROD0007,PROD0428,1
PROD0007,PROD0455,1
PROD0007,PROD0456,1
PROD0007,PROD0472,1
PROD0007,PROD0477,1
PROD0007,PROD0478,1
PROD0007,PROD0489,1
PROD0007,PROD0493,1
PROD0007,PROD0497,1
PROD0007,PROD0499,1
PROD0008,PROD0109,1
PROD0008,PROD0128,1
PROD0008,PROD0130,1
PROD0008,PROD0145,1
PROD0008,PROD0168,1
PROD0008,PROD0198,1
PROD0008,PROD0206,1
PROD0008,PROD0247,1
PROD0008,PROD0275,1
PROD0008,PROD0295,1
PROD0008,PROD0326,1
PROD0008,PROD0338,1
PROD0008,PROD0356,1
PROD0009,PROD0019,1
PROD0009,PROD0020,1
PROD0009,PROD0069,1
PROD0009,PROD0082,1
PROD0009,PROD0099,1
PROD0009,PROD0102,1
PROD0009,PROD0109,1
PROD0009,PROD0132,1
PROD0009,PROD0170,1
PROD0009,PROD0188,1
PROD0009,PROD0238,1
PROD0009,PROD0254,1
PROD0009,PROD0255,1
PROD0009,PROD0256,1
PROD0009,PROD0264,1
PROD0009,PROD0308,1
PROD0009,PROD0325,1
PROD0009,PROD0394,1
PROD0009,PROD0428,1
PROD0009,PROD0432,1
PROD0009,PROD0458,1
PROD0009,PROD0467,1
PROD0010,PROD0016,1
PROD0010,PROD0042,1
PROD0010,PROD0076,1
PROD0010,PROD0220,1
PROD0010,PROD0230,1
PROD0010,PROD0235,1
PROD0010,PROD0297,1
PROD0010,PROD0367,1
PROD0010,PROD0395,1
PROD0010,PROD0399,1
PROD0010,PROD0468,1
PROD0010,PROD0479,1
PROD0011,PROD0047,1
PROD0011,PROD0055,1
PROD0011,PROD0095,1
PROD0011,PROD0207,1
PROD0011,PROD0213,1
PROD0011,PROD0220,1
PROD0011,PROD0227,1
PROD0011,PROD0296,1
PROD0011,PROD0315,1
PROD0011,PROD0342,1
PROD0011,PROD0346,1
PROD0011,PROD0391,1
PROD0011,PROD0393,1
PROD0011,PROD0488,1
PROD0011,PROD0496,1
PROD0012,PROD0027,1
PROD0012,PROD0036,1
PROD0012,PROD0061,1
PROD0012,PROD0098,1
PROD0012,PROD0162,1
PROD0012,PROD0254,1
PROD0012,PROD0265,1
PROD0012,PROD0314,1
PROD0012,PROD0329,1
PROD0012,PROD0441,1
PROD0012,PROD0445,1
PROD0013,PROD0029,1
PROD0013,PROD0053,1
PROD0013,PROD0115,1
PROD0013,PROD0133,1
PROD0013,PROD0153,1
PROD0013,PROD0169,1
PROD0013,PROD0184,1
PROD0013,PROD0233,1
PROD0013,PROD0243,1
PROD0013,PROD0275,1
PROD0013,PROD0304,1
PROD0013,PROD0319,1
PROD0013,PROD0342,1
PROD0013,PROD0344,1
PROD0013,PROD0394,1
PROD0013,PROD0423,1
PROD0013,PROD0468,1
PROD0013,PROD0485,1
PROD0013,PROD0493,1
PROD0014,PROD0043,1
PROD0014,PROD0055,1
PROD0014,PROD0106,1
PROD0014,PROD0160,1
PROD0014,PROD0178,1
PROD0014,PROD0181,1
PROD0014,PROD0223,1
PROD0014,PROD0259,1
PROD0014,PROD0275,1
PROD0014,PROD0283,1
PROD0014,PROD0340,1
PROD0014,PROD0371,1
PROD0014,PROD0405,1
PROD0014,PROD0459,1
PROD0015,PROD0145,1
PROD0015,PROD0244,1
PROD0015,PROD0340,1
PROD0015,PROD0374,1
PROD0015,PROD0378,1
PROD0015,PROD0484,1
PROD0016,PROD0045,1
PROD0016,PROD0127,1
PROD0016,PROD0130,1
PROD0016,PROD0136,1
PROD0016,PROD0160,1
PROD0016,PROD0290,1
PROD0016,PROD0331,1
PROD0016,PROD0348,1
PROD0016,PROD0363,1
PROD0016,PROD0369,1
PROD0016,PROD0418,1
PROD0016,PROD0446,1
PROD0016,PROD0468,1
PROD0017,PROD0033,1
PROD0017,PROD0127,1
PROD0017,PROD0150,1
PROD0017,PROD0165,1
PROD0017,PROD0195,1
PROD0017,PROD0221,1
PROD0017,PROD0229,1
PROD0017,PROD0306,1
PROD0017,PROD0346,1
PROD0017,PROD0411,1
PROD0017,PROD0426,1
PROD0017,PROD0464,1
PROD0017,PROD0488,1
PROD0018,PROD0041,1
PROD0018,PROD0058,1
PROD0018,PROD0134,1
PROD0018,PROD0166,1
PROD0018,PROD0186,1
PROD0018,PROD0231,1
PROD0018,PROD0248,1
PROD0018,PROD0265,1
PROD0018,PROD0343,1
PROD0018,PROD0344,1
PROD0018,PROD0357,1
PROD0018,PROD0359,1
PROD0018,PROD0363,1
PROD0018,PROD0376,1
PROD0018,PROD0387,1
PROD0018,PROD0391,1
PROD0018,PROD0400,1
PROD0018,PROD0411,1
PROD0018,PROD0424,1
PROD0018,PROD0455,1
PROD0018,PROD0476,1
PROD0018,PROD0493,1
PROD0019,PROD0020,1
PROD0019,PROD0023,1
PROD0019,PROD0045,1
PROD0019,PROD0064,1
PROD0019,PROD0075,1
PROD0019,PROD0099,1
PROD0019,PROD0112,1
PROD0019,PROD0188,1
PROD0019,PROD0253,1
PROD0019,PROD0271,1
PROD0019,PROD0305,1
PROD0019,PROD0316,1
PROD0019,PROD0321,1
PROD0019,PROD0349,1
PROD0019,PROD0394,1
PROD0019,PROD0466,1
PROD0019,PROD0467,1
PROD0019,PROD0498,1
PROD0020,PROD0022,1
PROD0020,PROD0029,1
PROD0020,PROD0033,1
PROD0020,PROD0045,1
PROD0020,PROD0064,1
PROD0020,PROD0077,1
PROD0020,PROD0103,1
PROD0020,PROD0125,1
PROD0020,PROD0127,1
PROD0020,PROD0132,1
PROD0020,PROD0179,1
PROD0020,PROD0188,1
PROD0020,PROD0209,1
PROD0020,PROD0225,1
PROD0020,PROD0240,1
PROD0020,PROD0245,1
PROD0020,PROD0257,1
PROD0020,PROD0258,1
PROD0020,PROD0261,1
PROD0020,PROD0262,1
PROD0020,PROD0264,1
PROD0020,PROD0275,1
PROD0020,PROD0305,1
PROD0020,PROD0321,1
PROD0020,PROD0338,1
PROD0020,PROD0342,1
PROD0020,PROD0349,1
PROD0020,PROD0366,1
PROD0020,PROD0373,1
PROD0020,PROD0378,1
PROD0020,PROD0394,1
PROD0020,PROD0412,1
PROD0020,PROD0432,1
PROD0020,PROD0458,1
PROD0020,PROD0466,1
PROD0020,PROD0476,1
PROD0020,PROD0478,1
PROD0020,PROD0482,1
PROD0021,PROD0034,1
PROD0021,PROD0046,1
PROD0021,PROD0123,1
PROD0021,PROD0136,1
PROD0021,PROD0162,1
PROD0021,PROD0168,1
PROD0021,PROD0183,1
PROD0021,PROD0214,1
PROD0021,PROD0250,1
PROD0021,PROD0257,1
PROD0021,PROD0320,1
PROD0021,PROD0343,1
PROD0021,PROD0347,1
PROD0021,PROD0358,1
PROD0021,PROD0380,1
PROD0021,PROD0445,1
PROD0021,PROD0446,1
PROD0021,PROD0465,1
PROD0021,PROD0497,1
PROD0022,PROD0023,1
PROD0022,PROD0068,1
PROD0022,PROD0149,1
PROD0022,PROD0153,1
PROD0022,PROD0176,1
PROD0022,PROD0182,1
PROD0022,PROD0193,1
PROD0022,PROD0210,1
PROD0022,PROD0211,1
PROD0022,PROD0219,1
PROD0022,PROD0267,1
PROD0022,PROD0275,1
PROD0022,PROD0295,1
PROD0022,PROD0309,1
PROD0022,PROD0332,1
PROD0022,PROD0343,1
PROD0022,PROD0386,1
PROD0022,PROD0387,1
PROD0022,PROD0467,1
PROD0022,PROD0473,1
PROD0022,PROD0478,1
PROD0022,PROD0484,1
PROD0023,PROD0040,1
PROD0023,PROD0075,1
PROD0023,PROD0131,1
PROD0023,PROD0148,1
PROD0023,PROD0151,1
PROD0023,PROD0199,1
PROD0023,PROD0205,1
PROD0023,PROD0211,1
PROD0023,PROD0238,1
PROD0023,PROD0242,1
PROD0023,PROD0271,1
PROD0023,PROD0304,1
PROD0023,PROD0323,1
PROD0023,PROD0387,1
PROD0023,PROD0394,1
PROD0023,PROD0404,1
PROD0023,PROD0463,1
PROD0023,PROD0465,1
PROD0023,PROD0467,1
PROD0023,PROD0468,1
PROD0024,PROD0049,1
PROD0024,PROD0089,1
PROD0024,PROD0107,1
PROD0024,PROD0113,1
PROD0024,PROD0220,1
PROD0024,PROD0257,1
PROD0024,PROD0430,1
PROD0024,PROD0500,1
PROD0025,PROD0030,1
PROD0025,PROD0033,1
PROD0025,PROD0082,1
PROD0025,PROD0084,1
PROD0025,PROD0098,1
PROD0025,PROD0127,1
PROD0025,PROD0150,1
PROD0025,PROD0161,1
PROD0025,PROD0176,1
PROD0025,PROD0244,1
PROD0025,PROD0266,1
PROD0025,PROD0317,1
PROD0025,PROD0366,1
PROD0025,PROD0367,1
PROD0025,PROD0417,1
PROD0025,PROD0437,1
PROD0025,PROD0477,1
PROD0025,PROD0497,1
PROD0026,PROD0027,1
PROD0026,PROD0061,1
PROD0026,PROD0094,1
PROD0026,PROD0125,1
PROD0026,PROD0137,1
PROD0026,PROD0141,1
PROD0026,PROD0158,1
PROD0026,PROD0189,1
PROD0026,PROD0320,1
PROD0026,PROD0326,1
PROD0026,PROD0435,1
PROD0026,PROD0472,1
PROD0027,PROD0036,1
PROD0027,PROD0061,1
PROD0027,PROD0077,1
PROD0027,PROD0090,1
PROD0027,PROD0109,1
PROD0027,PROD0137,1
PROD0027,PROD0166,1
PROD0027,PROD0203,1
PROD0027,PROD0205,1
PROD0027,PROD0246,1
PROD0027,PROD0268,1
PROD0027,PROD0271,1
PROD0027,PROD0301,1
PROD0027,PROD0320,1
PROD0027,PROD0329,1
PROD0027,PROD0353,1
PROD0027,PROD0355,1
PROD0027,PROD0365,1
PROD0027,PROD0414,1
PROD0027,PROD0441,1
PROD0027,PROD0445,1
PROD0027,PROD0458,1
PROD0027,PROD0472,1
PROD0028,PROD0076,1
PROD0028,PROD0092,1
PROD0028,PROD0093,1
PROD0028,PROD0109,1
PROD0028,PROD0123,1
PROD0028,PROD0153,1
PROD0028,PROD0157,1
PROD0028,PROD0176,1
PROD0028,PROD0207,1
PROD0028,PROD0229,1
PROD0028,PROD0237,1
PROD0028,PROD0243,1
PROD0028,PROD0254,1
PROD0028,PROD0318,1
PROD0028,PROD0376,1
PROD0028,PROD0409,1
PROD0028,PROD0472,1
PROD0029,PROD0034,1
PROD0029,PROD0037,1
PROD0029,PROD0045,1
PROD0029,PROD0053,1
PROD0029,PROD0056,1
PROD0029,PROD0062,1
PROD0029,PROD0068,1
PROD0029,PROD0087,1
PROD0029,PROD0104,1
PROD0029,PROD0116,1
PROD0029,PROD0117,1
PROD0029,PROD0118,1
PROD0029,PROD0133,1
PROD0029,PROD0159,1
PROD0029,PROD0160,1
PROD0029,PROD0179,1
PROD0029,PROD0183,1
PROD0029,PROD0203,1
PROD0029,PROD0211,1
PROD0029,PROD0217,1
PROD0029,PROD0220,1
PROD0029,PROD0232,1
PROD0029,PROD0241,1
PROD0029,PROD0245,1
PROD0029,PROD0292,1
PROD0029,PROD0316,1
PROD0029,PROD0321,1
PROD0029,PROD0336,1
PROD0029,PROD0342,1
PROD0029,PROD0346,1
PROD0029,PROD0358,1
PROD0029,PROD0360,1
PROD0029,PROD0363,1
PROD0029,PROD0391,1
PROD0029,PROD0412,1
PROD0029,PROD0416,1
PROD0029,PROD0426,1
PROD0029,PROD0434,1
PROD0029,PROD0440,1
PROD0029,PROD0444,1
PROD0029,PROD0464,1
PROD0029,PROD0475,1
PROD0029,PROD0479,1
PROD0029,PROD0482,1
PROD0029,PROD0489,1
PROD0029,PROD0497,1
PROD0030,PROD0037,1
PROD0030,PROD0081,1
PROD0030,PROD0182,1
PROD0030,PROD0244,1
PROD0030,PROD0290,1
PROD0030,PROD0317,1
PROD0030,PROD0318,1
PROD0030,PROD0329,1
PROD0030,PROD0376,1
PROD0030,PROD0416,1
PROD0030,PROD0467,1
PROD0030,PROD0500,1
PROD0031,PROD0038,1
PROD0031,PROD0084,1
PROD0031,PROD0088,1
PROD0031,PROD0103,1
PROD0031,PROD0162,1
PROD0031,PROD0163,1
PROD0031,PROD0208,1
PROD0031,PROD0210,1
PROD0031,PROD0262,1
PROD0031,PROD0291,1
PROD0031,PROD0304,1
PROD0031,PROD0323,1
PROD0031,PROD0354,1
PROD0031,PROD0377,1
PROD0031,PROD0425,1
PROD0031,PROD0426,1
PROD0031,PROD0466,1
PROD0031,PROD0497,1
PROD0032,PROD0127,1
PROD0032,PROD0144,1
PROD0032,PROD0206,1
PROD0032,PROD0285,1
PROD0032,PROD0331,1
PROD0032,PROD0342,1
PROD0032,PROD0349,1
PROD0032,PROD0414,1
PROD0032,PROD0415,1
PROD0032,PROD0484,1
PROD0033,PROD0083,1
PROD0033,PROD0084,1
PROD0033,PROD0098,1
PROD0033,PROD0161,1
PROD0033,PROD0176,1
PROD0033,PROD0199,1
PROD0033,PROD0240,1
PROD0033,PROD0297,1
PROD0033,PROD0331,1
PROD0033,PROD0338,1
PROD0033,PROD0367,1
PROD0033,PROD0411,1
PROD0033,PROD0437,1
PROD0033,PROD0477,1
PROD0034,PROD0068,1
PROD0034,PROD0107,1
PROD0034,PROD0136,1
PROD0034,PROD0169,1
PROD0034,PROD0172,1
PROD0034,PROD0183,1
PROD0034,PROD0250,1
PROD0034,PROD0267,1
PROD0034,PROD0301,1
PROD0034,PROD0328,1
PROD0034,PROD0335,1
PROD0034,PROD0343,1
PROD0034,PROD0352,1
PROD0034,PROD0358,1
PROD0034,PROD0386,1
PROD0034,PROD0456,1
PROD0034,PROD0465,1
PROD0034,PROD0497,1
PROD0035,PROD0085,1
PROD0035,PROD0088,1
PROD0035,PROD0101,1
PROD0035,PROD0111,1
PROD0035,PROD0150,1
PROD0035,PROD0159,1
PROD0035,PROD0167,1
PROD0035,PROD0191,1
PROD0035,PROD0197,1
PROD0035,PROD0203,1
PROD0035,PROD0208,1
PROD0035,PROD0221,1
PROD0035,PROD0238,1
PROD0035,PROD0267,1
PROD0035,PROD0279,1
PROD0035,PROD0299,1
PROD0035,PROD0322,1
PROD0035,PROD0330,1
PROD0035,PROD0334,1
PROD0035,PROD0336,1
PROD0035,PROD0349,1
PROD0035,PROD0363,1
PROD0035,PROD0408,1
PROD0035,PROD0434,1
PROD0035,PROD0480,1
PROD0035,PROD0483,1
PROD0035,PROD0494,1
PROD0036,PROD0062,1
PROD0036,PROD0068,1
PROD0036,PROD0078,1
PROD0036,PROD0105,1
PROD0036,PROD0171,1
PROD0036,PROD0250,1
PROD0036,PROD0291,1
PROD0036,PROD0329,1
PROD0036,PROD0394,1
PROD0036,PROD0403,1
PROD0036,PROD0409,1
PROD0036,PROD0435,1
PROD0036,PROD0441,1
