region_code,order_date,daily_revenue,running_total
EAST,2025-06-28,61485.76,61485.76
EAST,2025-06-29,50455.12,111940.88
EAST,2025-06-30,230678.63,342619.5
EAST,2025-07-01,195104.64,537724.14
EAST,2025-07-02,95020.87,632745.01
EAST,2025-07-03,128764.41,761509.42
EAST,2025-07-05,55528.69,817038.11
EAST,2025-07-07,148620.35,965658.46
EAST,2025-07-08,79137.18,1044795.64
EAST,2025-07-10,304044.47,1348840.11
EAST,2025-07-17,-33332.88,1315507.23
EAST,2025-07-19,286943.79,1602451.02
EAST,2025-07-20,45771.39,1648222.41
EAST,2025-07-21,4886.67,1653109.08
EAST,2025-07-22,218194.68,1871303.76
EAST,2025-07-24,53018.82,1924322.57
EAST,2025-07-25,58198.27,1982520.84
EAST,2025-07-26,249228.74,2231749.59
EAST,2025-07-28,172747.34,2404496.93
EAST,2025-07-29,239627.94,2644124.87
EAST,2025-07-31,487233.52,3131358.38
EAST,2025-08-04,34343.57,3165701.95
EAST,2025-08-05,205983.05,3371685.0
EAST,2025-08-06,50085.31,3421770.31
EAST,2025-08-07,145007.45,3566777.76
EAST,2025-08-09,212308.26,3779086.03
EAST,2025-08-12,462.44,3779548.47
EAST,2025-08-15,243610.46,4023158.93
EAST,2025-08-18,138158.76,4161317.69
EAST,2025-08-19,397295.07,4558612.76
EAST,2025-08-20,131731.01,4690343.77
EAST,2025-08-21,466647.46,5156991.23
EAST,2025-08-23,76478.03,5233469.26
EAST,2025-08-24,302894.66,5536363.92
EAST,2025-08-27,202461.48,5738825.41
EAST,2025-08-29,57226.95,5796052.35
EAST,2025-08-30,390299.32,6186351.67
EAST,2025-08-31,117654.06,6304005.74
EAST,2025-09-05,84185.54,6388191.28
EAST,2025-09-08,124417.32,6512608.6
EAST,2025-09-09,122864.47,6635473.07
EAST,2025-09-11,267857.94,6903331.0
EAST,2025-09-12,98556.76,7001887.76
EAST,2025-09-13,35145.43,7037033.2
EAST,2025-09-14,61560.77,7098593.97
EAST,2025-09-15,57516.12,7156110.08
EAST,2025-09-17,212172.7,7368282.79
EAST,2025-09-18,210293.12,7578575.91
EAST,2025-09-20,164360.9,7742936.82
EAST,2025-09-21,161765.08,7904701.9
EAST,2025-09-23,142582.31,8047284.21
EAST,2025-09-24,126105.13,8173389.34
EAST,2025-09-26,8988.13,8182377.47
EAST,2025-09-28,313016.88,8495394.35
EAST,2025-09-30,56530.44,8551924.79
EAST,2025-10-01,80209.9,8632134.69
EAST,2025-10-04,97108.79,8729243.49
EAST,2025-10-06,144686.93,8873930.42
EAST,2025-10-12,33367.13,8907297.54
EAST,2025-10-13,10992.72,8918290.26
EAST,2025-10-18,328339.94,9246630.2
EAST,2025-10-19,138450.62,9385080.83
EAST,2025-10-25,81972.99,9467053.81
EAST,2025-10-28,43101.88,9510155.7
EAST,2025-11-01,380822.59,9890978.29
EAST,2025-11-04,67133.62,9958111.91
EAST,2025-11-05,448443.14,10406555.06
EAST,2025-11-06,16514.49,10423069.54
EAST,2025-11-07,74150.88,10497220.42
EAST,2025-11-08,63184.02,10560404.44
EAST,2025-11-09,179591.9,10739996.34
EAST,2025-11-12,161383.38,10901379.72
EAST,2025-11-13,136607.79,11037987.51
EAST,2025-11-16,134273.64,11172261.15
EAST,2025-11-20,176268.07,11348529.22
EAST,2025-11-22,132301.35,11480830.57
EAST,2025-12-02,297977.19,11778807.76
EAST,2025-12-03,1021.31,11779829.07
EAST,2025-12-06,444224.4,12224053.46
EAST,2025-12-07,91270.6,12315324.06
EAST,2025-12-14,148014.44,12463338.5
EAST,2025-12-17,59533.64,12522872.14
EAST,2025-12-18,100377.71,12623249.85
EAST,2025-12-26,46309.78,12669559.63
EAST,2025-12-30,102646.98,12772206.61
EAST,2026-01-01,164919.75,12937126.36
EAST,2026-01-03,71766.86,13008893.22
EAST,2026-01-04,447835.07,13456728.29
EAST,2026-01-06,22391.92,13479120.21
EAST,2026-01-11,122693.72,13601813.93
EAST,2026-01-12,142958.34,13744772.27
EAST,2026-01-14,447800.71,14192572.98
EAST,2026-01-18,155623.72,14348196.71
EAST,2026-01-19,161244.79,14509441.5
EAST,2026-01-20,26603.33,14536044.83
EAST,2026-01-22,60926.78,14596971.62
EAST,2026-01-23,182928.91,14779900.53
EAST,2026-02-03,3732.91,14783633.44
EAST,2026-02-04,374634.93,15158268.36
EAST,2026-02-08,366179.32,15524447.68
EAST,2026-02-10,40667.94,15565115.62
EAST,2026-02-11,27221.86,15592337.48
EAST,2026-02-15,67419.69,15659757.17
