category,product_name,total_revenue,rank_in_category
Books,Chair Reiciendis,709495.17,1
Books,Shirt Vitae,574195.27,2
Books,Watch Quos,521592.83,3
Books,Headphones Quam,517590.39,4
Books,Table Culpa,505542.54,5
Books,Mixer Aliquam,495911.31,6
Books,Shirt Temporibus,472268.52,7
Books,Printer Ratione,459989.98,8
Books,Mouse Doloribus,444688.55,9
Books,Headphones Nemo,422189.91,10
Books,Keyboard Atque,417503.15,11
Books,Shoes Repudiandae,411000.41,12
Books,Shirt Optio,410835.69,13
Books,Mouse Accusamus,402622.78,14
Books,Keyboard Maxime,392794.6,15
Books,Watch Optio,381396.59,16
Books,Fan Qui,375366.13,17
Books,Table Veniam,370779.97,18
Books,Keyboard Soluta,353006.33,19
Books,Book Esse,340122.48,20
Books,Shirt Molestias,339812.75,21
Books,Speaker Suscipit,325408.69,22
Books,Notebook Quo,311837.08,23
Books,Watch Nihil,306521.04,24
Books,Mixer Qui,294863.4,25
Books,Fan Totam,294695.6,26
Books,Notebook Rem,294408.46,27
Books,Chair Nemo,291127.17,28
Books,Chair Quam,282526.0,29
Books,Book Accusantium,280326.9,30
Books,Fan Aliquam,276547.24,31
Books,Bottle Veniam,274296.57,32
Books,Chair Minima,271052.9,33
Books,Mouse Dolorem,269327.09,34
Books,Watch Culpa,262353.09,35
Books,Bag Possimus,252672.76,36
Books,Watch Neque,251100.36,37
Books,Mouse Hic,248986.22,38
Books,Phone Aliquam,247069.6,39
Books,Monitor Itaque,239262.21,40
Books,Bag Sapiente,235237.15,41
Books,Speaker Porro,232161.9,42
Books,Headphones Laudantium,231981.99,43
Books,Shirt In,224891.11,44
Books,Bottle Magnam,223850.08,45
Books,Camera Aliquam,218449.13,46
Books,Shoes Amet,217794.67,47
Books,Speaker Voluptatibus,217450.07,48
Books,Shirt Pariatur,212748.74,49
Books,Shoes Beatae,212082.89,50
Books,Speaker Libero,211503.61,51
Books,Book Explicabo,198909.24,52
Books,Mouse Esse,196482.21,53
Books,Mixer Sapiente,195293.8,54
Books,Mixer Facere,192018.46,55
Books,Shirt Delectus,191374.64,56
Books,Bottle Non,189304.78,57
Books,Shoes Alias,185876.95,58
Books,Notebook Repellat,185170.4,59
Books,Printer Quibusdam,183411.59,60
Books,Table Sed,181440.52,61
Books,Shirt Odit,171620.03,62
Books,Mixer Ullam,167444.33,63
Books,Notebook Provident,165833.97,64
Books,Headphones Architecto,163800.06,65
Books,Fan Esse,155727.42,66
Books,Shoes Laboriosam,154192.16,67
Books,Chair Id,153901.5,68
Books,Bottle Nisi,150820.17,69
Books,Mixer Similique,148540.75,70
Books,Laptop Explicabo,146983.41,71
Books,Book Sint,142653.63,72
Books,Table Harum,132860.2,73
Books,Mouse Veritatis,132806.07,74
Books,Notebook Alias,131030.22,75
Books,Speaker Doloremque,129534.65,76
Books,Table Atque,122961.55,77
Books,Headphones Unde,115573.28,78
Books,Mixer Eligendi,113808.42,79
Books,Bag A,111364.8,80
Books,Mixer Dolorum,111328.7,81
Books,Printer Blanditiis,110586.01,82
Books,Printer Deleniti,108457.92,83
Books,Bag Accusantium,108235.88,84
Books,Keyboard Fugit,102214.54,85
Books,Shirt Veniam,98910.01,86
Books,Monitor Harum,96560.81,87
Books,Notebook Ipsa,87271.48,88
Books,Printer Deserunt,82048.49,89
Books,Shoes Maxime,73489.37,90
Books,Fan Blanditiis,71967.18,91
Books,Speaker Pariatur,71260.04,92
Books,Laptop Nesciunt,66792.84,93
Books,Mixer Libero,62666.86,94
Books,Chair Non,50010.48,95
Books,Headphones Dolor,46934.25,96
Books,Table Necessitatibus,46121.39,97
Books,Mixer Cupiditate,45693.78,98
Books,Laptop Eos,43683.37,99
Books,Table Omnis,39693.74,100
Books,Watch Temporibus,38141.22,101
Books,Book Doloribus,35459.15,102
Books,Bag Nulla,25180.83,103
Books,Table Sapiente,21858.53,104
Books,Printer Quisquam,17206.74,105
Books,Camera Eligendi,14658.51,106
Books,Watch Aperiam,8565.46,107
Books,Keyboard Quisquam,3453.85,108
Books,Bag Maxime,-293.86,109
Clothing,Printer Corrupti,785146.44,1
Clothing,Table Facilis,649441.02,2
Clothing,Watch Facere,627457.46,3
Clothing,Keyboard Itaque,539182.73,4
Clothing,Keyboard Necessitatibus,511954.2,5
Clothing,Chair Ipsa,492023.32,6
Clothing,Shoes Alias,472898.98,7
Clothing,Table Consectetur,437321.17,8
Clothing,Book Quaerat,434656.96,9
Clothing,Fan Molestias,423401.09,10
Clothing,Notebook Inventore,418548.77,11
Clothing,Notebook Nostrum,415729.64,12
Clothing,Book Ut,415667.2,13
Clothing,Bag Cum,397195.64,14
Clothing,Headphones Eius,393119.28,15
Clothing,Phone Aliquam,381989.83,16
Clothing,Mouse Doloribus,372021.19,17
Clothing,Camera Temporibus,368771.24,18
